item_type ,date_uploaded ,source_file                                               ,item_id    ,title                                                                                                                                                                                                                                                                                                           ,date                              ,source_url                           ,contributors                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,medium                                                                                                                       ,partof                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,rights                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,subjects                                   ,type                        ,image_url
Item      ,2023-11-20    ,data/ftu_lh_metadata/item_metadata-cph.3c36378.json       ,2006678920 ,Frank Schubert polishes the station's lens once a week                                                                                                                                                                                                                                                          ,1961 June 12.                     ,https://www.loc.gov/item/2006678920/ ,"[{'higgins, roger': 'https://www.loc.gov/search/?fa=contributor:higgins,+roger&fo=json'}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,1 photographic print.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,['1 photographic print.']                                                                                                    ,"[{'count': 121410, 'title': 'miscellaneous items in high demand', 'url': 'https://www.loc.gov/search/?fa=partof:miscellaneous+items+in+high+demand&fo=json'}, {'count': 989023, 'title': 'prints & photographs online catalog (library of congress)', 'url': 'https://www.loc.gov/search/?fa=partof:prints+%26+photographs+online+catalog+%28library+of+congress%29&fo=json'}, {'count': 1049019, 'title': 'prints and photographs division', 'url': 'https://www.loc.gov/search/?fa=partof:prints+and+photographs+division&fo=json'}, {'count': 1487296, 'title': 'catalog', 'url': 'https://www.loc.gov/search/?fa=partof:catalog&fo=json'}]"                                                                                                  ,[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,"['Sailing ships', 'Lighthouses', 'Seas']" ,"['photo, print, drawing']" ,https://tile.loc.gov/storage-services/service/pnp/cph/3c30000/3c36000/3c36300/3c36378v.jpg#h=1024&w=828
Item      ,2023-11-20    ,data/ftu_lh_metadata/item_metadata-det.4a24366.json       ,2016812260 ,"Harbor entrance and lights, Buffalo, N.Y."                                                                                                                                                                                                                                                                     ,c[between 1910 and 1920]          ,https://www.loc.gov/item/2016812260/ ,[{'detroit publishing co.': 'https://www.loc.gov/search/?fa=contributor:detroit+publishing+co.&fo=json'}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,1 negative : glass ; 8 x 10 in.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,['1 negative : glass ; 8 x 10 in.']                                                                                          ,"[{'count': 25171, 'title': 'detroit publishing company', 'url': 'https://www.loc.gov/collections/detroit-publishing-company/?fo=json'}, {'count': 506946, 'title': 'american memory', 'url': 'https://www.loc.gov/search/?fa=partof:american+memory&fo=json'}, {'count': 989023, 'title': 'prints & photographs online catalog (library of congress)', 'url': 'https://www.loc.gov/search/?fa=partof:prints+%26+photographs+online+catalog+%28library+of+congress%29&fo=json'}, {'count': 1049019, 'title': 'prints and photographs division', 'url': 'https://www.loc.gov/search/?fa=partof:prints+and+photographs+division&fo=json'}, {'count': 1487296, 'title': 'catalog', 'url': 'https://www.loc.gov/search/?fa=partof:catalog&fo=json'}]" ,"['<p>The Library of Congress believes that many of the papers in the Detroit Publishing Company collection are in the public domain or have no known copyright restrictions and are free to use and reuse. For example, all photos published in the U.S. more than 95 years ago are in the public domain. The Library has also obtained permission for the use of many other materials, and presents additional materials pursuant to fair use under United States copyright law. Researchers should watch for documents that may be copyrighted (for example, published in the United States less than 95 years ago, or unpublished and the author died less than 70 years ago).</p>\r\n<p> You are responsible for deciding whether your use of the items in this collection is legal. You will need written permission from the rightsholders to copy, distribute, or otherwise use copyrighted materials except as allowed by fair use or other statutory exemptions. Some materials may be protected under international law. You may also need permission from holders of other rights, such as publicity and/or privacy rights.</p>\r\n<p>Credit Line: Library of Congress, Prints &amp; Photographs Division, Detroit Publishing Company Collection.<br>\r\nFor information about reproducing, publishing, and citing material from this collection, as well as access to the original items, see: <a href=""https://www.loc.gov/rr/print/res/102_det.html"">Detroit Publishing Company - Rights and Restrictions Information</a></p>\r\n<p>More about <a href=""/legal/"">Copyright and other Restrictions</a> </p>\r\n<p>For guidance about compiling full citations consult <a href=""https://www.loc.gov/teachers/usingprimarysources/citing.html"">Citing Primary Sources</a>.</p>']" ,"['Sailing ships', 'Lighthouses', 'Seas']" ,"['photo, print, drawing']" ,https://tile.loc.gov/storage-services/service/pnp/det/4a20000/4a24000/4a24300/4a24366v.jpg#h=829&w=1024
Item      ,2023-11-20    ,data/ftu_lh_metadata/item_metadata-g3311p.fi000169a.json  ,2018588031 ,A chart exhibiting the lighthouses of the lake coast of the United States of America                                                                                                                                                                                                                            ,1848-01-01                        ,https://www.loc.gov/item/2018588031/ ,"[{'fillmore, millard': 'https://www.loc.gov/search/?fa=contributor:fillmore,+millard&fo=json'}, {'pleasonton, stephen': 'https://www.loc.gov/search/?fa=contributor:pleasonton,+stephen&fo=json'}, {'united states. department of the treasury. office of the fifth auditor': 'https://www.loc.gov/search/?fa=contributor:united+states.+department+of+the+treasury.+office+of+the+fifth+auditor&fo=json'}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,"Map of lighthouse locations in the Great Lakes region of the U.S. using red overprint symbols to indicate the locations and to emphasize state boundaries. Lighthouse locations also shown along the upper St. Lawrence River (Canada) and around Lake Champlain. Prime meridian: Washington D.C. LC sheet imperfect: Use-darkened along fold lines on verso. Includes 2 bar scales--1 in statute miles, the other in geographical (nautical) miles. Handwritten (cursive script) inked identification statement on verso panel: Chart of light houses on the U.S. lake coasts, 1848, M. Fillmore. Available also through the Library of Congress Web site as a raster image. Vault Another exemplar (without signature) in single map file." ,"['1 map : color ; 39 x 77 cm, folded to 23 x 14 cm.']"                                                                      ,"[{'count': 6714, 'title': 'general maps', 'url': 'https://www.loc.gov/collections/general-maps/?fo=json'}, {'count': 56055, 'title': 'geography and map division', 'url': 'https://www.loc.gov/search/?fa=partof:geography+and+map+division&fo=json'}, {'count': 506946, 'title': 'american memory', 'url': 'https://www.loc.gov/search/?fa=partof:american+memory&fo=json'}, {'count': 1487296, 'title': 'catalog', 'url': 'https://www.loc.gov/search/?fa=partof:catalog&fo=json'}]"                                                                                                                                                                                                                                                           ,"['<p>The maps in the Map Collections materials were either published prior to \r1922, produced by the United States government, or both (see catalogue \rrecords that accompany each map for information regarding date of \rpublication and source). The Library of Congress is providing access to \rthese materials for educational and research purposes and is not aware of \rany U.S. copyright protection (see Title 17 of the United States Code) or any \rother restrictions in the Map Collection materials.\r</p>\r<p>Note that the written permission of the copyright owners and/or other rights \rholders (such as publicity and/or privacy rights) is required for distribution, \rreproduction, or other use of protected items beyond that allowed by fair use \ror other statutory exemptions.  Responsibility for making an independent \rlegal assessment of an item and securing any necessary permissions \rultimately rests with persons desiring to use the item.\r</p>\r<p>Credit Line: Library of Congress, Geography and Map Division. </p>']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"['Sailing ships', 'Lighthouses', 'Seas']" ,['map']                     ,https://tile.loc.gov/image-services/iiif/service:gmd:gmd3:g3311:g3311p:fi000169a/full/pct:25/0/default.jpg#h=1300&w=2373
Item      ,2023-11-20    ,data/ftu_lh_metadata/item_metadata-g3721p.fi000169cr.json ,2018588023 ,A chart exhibiting the light houses and light vessels on the coast of the United States of America : from Maine to Virginia inclusive                                                                                                                                                                           ,1848-01-01                        ,https://www.loc.gov/item/2018588023/ ,"[{""c.b. graham's lith"": 'https://www.loc.gov/search/?fa=contributor:c.b.+graham%27s+lith&fo=json'}, {'fillmore, millard': 'https://www.loc.gov/search/?fa=contributor:fillmore,+millard&fo=json'}, {'pleasonton, stephen': 'https://www.loc.gov/search/?fa=contributor:pleasonton,+stephen&fo=json'}, {'united states. department of the treasury. office of the fifth auditor': 'https://www.loc.gov/search/?fa=contributor:united+states.+department+of+the+treasury.+office+of+the+fifth+auditor&fo=json'}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"Printed so that red-and-yellow symbols indicate the lighthouse locations and the state lines. Prime meridian: Washington D.C. LC sheet imperfect: Wrinkled, probably removed from a textual publication (missing). Includes 2 bar scales--1 in statute miles, the other in geographical (nautical) miles. Handwritten (cursive script) inked identification statement on verso panel: Chart of light houses & light vessels on the coast of the United States, from Maine to Virginia, 1848, M. Fillmore. Available also through the Library of Congress Web site as a raster image. Vault"                                                                                                                                                   ,"['1 map : color ; 66 x 54 cm, folded to 24 x 16 cm.']"                                                                      ,"[{'count': 6714, 'title': 'general maps', 'url': 'https://www.loc.gov/collections/general-maps/?fo=json'}, {'count': 56055, 'title': 'geography and map division', 'url': 'https://www.loc.gov/search/?fa=partof:geography+and+map+division&fo=json'}, {'count': 506946, 'title': 'american memory', 'url': 'https://www.loc.gov/search/?fa=partof:american+memory&fo=json'}, {'count': 1487296, 'title': 'catalog', 'url': 'https://www.loc.gov/search/?fa=partof:catalog&fo=json'}]"                                                                                                                                                                                                                                                           ,"['<p>The maps in the Map Collections materials were either published prior to \r1922, produced by the United States government, or both (see catalogue \rrecords that accompany each map for information regarding date of \rpublication and source). The Library of Congress is providing access to \rthese materials for educational and research purposes and is not aware of \rany U.S. copyright protection (see Title 17 of the United States Code) or any \rother restrictions in the Map Collection materials.\r</p>\r<p>Note that the written permission of the copyright owners and/or other rights \rholders (such as publicity and/or privacy rights) is required for distribution, \rreproduction, or other use of protected items beyond that allowed by fair use \ror other statutory exemptions.  Responsibility for making an independent \rlegal assessment of an item and securing any necessary permissions \rultimately rests with persons desiring to use the item.\r</p>\r<p>Credit Line: Library of Congress, Geography and Map Division. </p>']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"['Sailing ships', 'Lighthouses', 'Seas']" ,['map']                     ,https://tile.loc.gov/image-services/iiif/service:gmd:gmd372:g3721:g3721p:fi000169cr/full/pct:25/0/default.jpg#h=2187&w=1835
Item      ,2023-11-20    ,data/ftu_lh_metadata/item_metadata-hhh.ca0581.sheet.json  ,ca0581     ,"Point Loma Lighthouse No. 355, (moved), San Diego, San Diego County, CA"                                                                                                                                                                                                                                       ,Documentation compiled after 1933 ,https://www.loc.gov/item/ca0581/     ,"[{'carnes, w g': 'https://www.loc.gov/search/?fa=contributor:carnes,+w+g&fo=json'}, {'davidson, winifred': 'https://www.loc.gov/search/?fa=contributor:davidson,+winifred&fo=json'}, {'fowler, m g': 'https://www.loc.gov/search/?fa=contributor:fowler,+m+g&fo=json'}, {'gibbon & kelley': 'https://www.loc.gov/search/?fa=contributor:gibbon+%26+kelley&fo=json'}, {'historic american buildings survey': 'https://www.loc.gov/search/?fa=contributor:historic+american+buildings+survey&fo=json'}, {'keating, james p': 'https://www.loc.gov/search/?fa=contributor:keating,+james+p&fo=json'}, {'langdon, j g': 'https://www.loc.gov/search/?fa=contributor:langdon,+j+g&fo=json'}, {'langdon, james g': 'https://www.loc.gov/search/?fa=contributor:langdon,+james+g&fo=json'}, {'peterson, c e': 'https://www.loc.gov/search/?fa=contributor:peterson,+c+e&fo=json'}, {'santos, b': 'https://www.loc.gov/search/?fa=contributor:santos,+b&fo=json'}, {'white, h c': 'https://www.loc.gov/search/?fa=contributor:white,+h+c&fo=json'}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,Photo(s): 16 | Measured Drawing(s): 20 | Data Page(s): 15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"['Photo(s): 16 ', 'Measured Drawing(s): 20 ', 'Data Page(s): 15 ']"                                                         ,"[{'count': 45519, 'title': 'historic american buildings survey/historic american engineering record/historic american landscapes survey', 'url': 'https://www.loc.gov/collections/historic-american-buildings-landscapes-and-engineering-records/?fo=json'}, {'count': 506946, 'title': 'american memory', 'url': 'https://www.loc.gov/search/?fa=partof:american+memory&fo=json'}, {'count': 1049019, 'title': 'prints and photographs division', 'url': 'https://www.loc.gov/search/?fa=partof:prints+and+photographs+division&fo=json'}]"                                                                                                                                                                                                     ,"['<p>The Library of Congress does not&nbsp;own rights to material  in its collections. Therefore, it does not license or charge permission fees  for use of such material and cannot grant or deny permission to publish or  otherwise distribute the material. </p>\n<p>Ultimately, it is the researcher\'s obligation to assess copyright or other use restrictions and  obtain permission from third parties when necessary before publishing or  otherwise distributing materials found in the Library\'s collections. </p>\n<p>For information about reproducing,  publishing, and citing material from this collection, as well as access to the  original items, see: <a href=""//www.loc.gov/rr/print/res/114_habs.html"">Historic American Buildings Survey/Historic American Engineering Record/Historic American Landscape Survey (HABS/HAER/HALS) Collection - Rights and Restrictions Information</a> </p>\n \n']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"['Sailing ships', 'Lighthouses', 'Seas']" ,"['photo, print, drawing']" ,https://tile.loc.gov/storage-services/service/pnp/habshaer/ca/ca0500/ca0581/photos/015228pv.jpg#h=736&w=1024
Item      ,2023-11-20    ,data/ftu_lh_metadata/item_metadata-hhh.fl0421.photos.json ,fl0421     ,"Cape Saint George Lighthouse, Cape St. George , Apalachicola, Franklin County, FL"                                                                                                                                                                                                                             ,Documentation compiled after 1933 ,https://www.loc.gov/item/fl0421/     ,"[{'arcadis geraghty & miller': 'https://www.loc.gov/search/?fa=contributor:arcadis+geraghty+%26+miller&fo=json'}, {'austin, william': 'https://www.loc.gov/search/?fa=contributor:austin,+william&fo=json'}, {'baird, tom': 'https://www.loc.gov/search/?fa=contributor:baird,+tom&fo=json'}, {'bowden, edward': 'https://www.loc.gov/search/?fa=contributor:bowden,+edward&fo=json'}, {'brooks, clairmon': 'https://www.loc.gov/search/?fa=contributor:brooks,+clairmon&fo=json'}, {'calloway, deborah': 'https://www.loc.gov/search/?fa=contributor:calloway,+deborah&fo=json'}, {'grimes, toni l.': 'https://www.loc.gov/search/?fa=contributor:grimes,+toni+l.&fo=json'}, {'historic american buildings survey': 'https://www.loc.gov/search/?fa=contributor:historic+american+buildings+survey&fo=json'}, {'lucroft, joseph': 'https://www.loc.gov/search/?fa=contributor:lucroft,+joseph&fo=json'}, {'porter, edward g.': 'https://www.loc.gov/search/?fa=contributor:porter,+edward+g.&fo=json'}, {'price, virginia barrett': 'https://www.loc.gov/search/?fa=contributor:price,+virginia+barrett&fo=json'}, {'reilly, james': 'https://www.loc.gov/search/?fa=contributor:reilly,+james&fo=json'}, {'total photo': 'https://www.loc.gov/search/?fa=contributor:total+photo&fo=json'}, {'u.s. coast guard': 'https://www.loc.gov/search/?fa=contributor:u.s.+coast+guard&fo=json'}, {'white, sullivan richard': 'https://www.loc.gov/search/?fa=contributor:white,+sullivan+richard&fo=json'}, {'wilkerson, james e.': 'https://www.loc.gov/search/?fa=contributor:wilkerson,+james+e.&fo=json'}, {'williams, arad l.': 'https://www.loc.gov/search/?fa=contributor:williams,+arad+l.&fo=json'}, {'williams, braddock': 'https://www.loc.gov/search/?fa=contributor:williams,+braddock&fo=json'}, {'williams, james albert': 'https://www.loc.gov/search/?fa=contributor:williams,+james+albert&fo=json'}]"                                                                                                                                                                                                                                                                                                                                                                                                         ,Photo(s): 6 | Measured Drawing(s): 4 | Data Page(s): 8 | Photo Caption Page(s): 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"['Photo(s): 6 ', 'Measured Drawing(s): 4 ', 'Data Page(s): 8 ', 'Photo Caption Page(s): 1 ']"                               ,"[{'count': 45519, 'title': 'historic american buildings survey/historic american engineering record/historic american landscapes survey', 'url': 'https://www.loc.gov/collections/historic-american-buildings-landscapes-and-engineering-records/?fo=json'}, {'count': 506946, 'title': 'american memory', 'url': 'https://www.loc.gov/search/?fa=partof:american+memory&fo=json'}, {'count': 1049019, 'title': 'prints and photographs division', 'url': 'https://www.loc.gov/search/?fa=partof:prints+and+photographs+division&fo=json'}]"                                                                                                                                                                                                     ,"['<p>The Library of Congress does not&nbsp;own rights to material  in its collections. Therefore, it does not license or charge permission fees  for use of such material and cannot grant or deny permission to publish or  otherwise distribute the material. </p>\n<p>Ultimately, it is the researcher\'s obligation to assess copyright or other use restrictions and  obtain permission from third parties when necessary before publishing or  otherwise distributing materials found in the Library\'s collections. </p>\n<p>For information about reproducing,  publishing, and citing material from this collection, as well as access to the  original items, see: <a href=""//www.loc.gov/rr/print/res/114_habs.html"">Historic American Buildings Survey/Historic American Engineering Record/Historic American Landscape Survey (HABS/HAER/HALS) Collection - Rights and Restrictions Information</a> </p>\n \n']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"['Sailing ships', 'Lighthouses', 'Seas']" ,"['photo, print, drawing']" ,https://tile.loc.gov/storage-services/service/pnp/habshaer/fl/fl0400/fl0421/photos/221606pv.jpg#h=1024&w=811
Item      ,2023-11-20    ,data/ftu_lh_metadata/item_metadata-hhh.hi0156.photos.json ,hi0156     ,"Moloka'i Light Station, Lighthouse, Makanalua, Moloka'i Island, Kalaupapa, Kalawao County, HI"                                                                                                                                                                                                                 ,Documentation compiled after 1933 ,https://www.loc.gov/item/hi0156/     ,[{'historic american buildings survey': 'https://www.loc.gov/search/?fa=contributor:historic+american+buildings+survey&fo=json'}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,Photo(s): 5 | Color Transparencies: 1 | Photo Caption Page(s): 2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,"['Photo(s): 5 ', 'Color Transparencies: 1 ', 'Photo Caption Page(s): 2 ']"                                                  ,"[{'count': 45519, 'title': 'historic american buildings survey/historic american engineering record/historic american landscapes survey', 'url': 'https://www.loc.gov/collections/historic-american-buildings-landscapes-and-engineering-records/?fo=json'}, {'count': 506946, 'title': 'american memory', 'url': 'https://www.loc.gov/search/?fa=partof:american+memory&fo=json'}, {'count': 1049019, 'title': 'prints and photographs division', 'url': 'https://www.loc.gov/search/?fa=partof:prints+and+photographs+division&fo=json'}]"                                                                                                                                                                                                     ,"['<p>The Library of Congress does not&nbsp;own rights to material  in its collections. Therefore, it does not license or charge permission fees  for use of such material and cannot grant or deny permission to publish or  otherwise distribute the material. </p>\n<p>Ultimately, it is the researcher\'s obligation to assess copyright or other use restrictions and  obtain permission from third parties when necessary before publishing or  otherwise distributing materials found in the Library\'s collections. </p>\n<p>For information about reproducing,  publishing, and citing material from this collection, as well as access to the  original items, see: <a href=""//www.loc.gov/rr/print/res/114_habs.html"">Historic American Buildings Survey/Historic American Engineering Record/Historic American Landscape Survey (HABS/HAER/HALS) Collection - Rights and Restrictions Information</a> </p>\n \n']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"['Sailing ships', 'Lighthouses', 'Seas']" ,"['photo, print, drawing']" ,https://tile.loc.gov/storage-services/service/pnp/habshaer/hi/hi0100/hi0156/color/361575cv.jpg#h=737&w=1024
Item      ,2023-11-20    ,data/ftu_lh_metadata/item_metadata-hhh.me0226.photos.json ,me0226     ,"Fort Point Light Station, On Cape Jellison at end of Fort Point Road in Fort Point State Park, Stockton Springs, Waldo County, ME"                                                                                                                                                                             ,Documentation compiled after 1933 ,https://www.loc.gov/item/me0226/     ,"[{'cheek, richard': 'https://www.loc.gov/search/?fa=contributor:cheek,+richard&fo=json'}, {'historic american buildings survey': 'https://www.loc.gov/search/?fa=contributor:historic+american+buildings+survey&fo=json'}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Photo(s): 10 | Photo Caption Page(s): 2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"['Photo(s): 10 ', 'Photo Caption Page(s): 2 ']"                                                                             ,"[{'count': 45519, 'title': 'historic american buildings survey/historic american engineering record/historic american landscapes survey', 'url': 'https://www.loc.gov/collections/historic-american-buildings-landscapes-and-engineering-records/?fo=json'}, {'count': 506946, 'title': 'american memory', 'url': 'https://www.loc.gov/search/?fa=partof:american+memory&fo=json'}, {'count': 1049019, 'title': 'prints and photographs division', 'url': 'https://www.loc.gov/search/?fa=partof:prints+and+photographs+division&fo=json'}]"                                                                                                                                                                                                     ,"['<p>The Library of Congress does not&nbsp;own rights to material  in its collections. Therefore, it does not license or charge permission fees  for use of such material and cannot grant or deny permission to publish or  otherwise distribute the material. </p>\n<p>Ultimately, it is the researcher\'s obligation to assess copyright or other use restrictions and  obtain permission from third parties when necessary before publishing or  otherwise distributing materials found in the Library\'s collections. </p>\n<p>For information about reproducing,  publishing, and citing material from this collection, as well as access to the  original items, see: <a href=""//www.loc.gov/rr/print/res/114_habs.html"">Historic American Buildings Survey/Historic American Engineering Record/Historic American Landscape Survey (HABS/HAER/HALS) Collection - Rights and Restrictions Information</a> </p>\n \n']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"['Sailing ships', 'Lighthouses', 'Seas']" ,"['photo, print, drawing']" ,https://tile.loc.gov/storage-services/service/pnp/habshaer/me/me0200/me0226/photos/338889pv.jpg#h=820&w=1024
Item      ,2023-11-20    ,data/ftu_lh_metadata/item_metadata-hhh.mi0225.sheet.json  ,mi0225     ,"Au Sable Light Station, Southern Shore of Lake Superior, Grand Marais, Alger County, MI"                                                                                                                                                                                                                       ,Documentation compiled after 1933 ,https://www.loc.gov/item/mi0225/     ,[{'historic american buildings survey': 'https://www.loc.gov/search/?fa=contributor:historic+american+buildings+survey&fo=json'}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,Measured Drawing(s): 7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,['Measured Drawing(s): 7 ']                                                                                                  ,"[{'count': 45519, 'title': 'historic american buildings survey/historic american engineering record/historic american landscapes survey', 'url': 'https://www.loc.gov/collections/historic-american-buildings-landscapes-and-engineering-records/?fo=json'}, {'count': 506946, 'title': 'american memory', 'url': 'https://www.loc.gov/search/?fa=partof:american+memory&fo=json'}, {'count': 1049019, 'title': 'prints and photographs division', 'url': 'https://www.loc.gov/search/?fa=partof:prints+and+photographs+division&fo=json'}]"                                                                                                                                                                                                     ,"['<p>The Library of Congress does not&nbsp;own rights to material  in its collections. Therefore, it does not license or charge permission fees  for use of such material and cannot grant or deny permission to publish or  otherwise distribute the material. </p>\n<p>Ultimately, it is the researcher\'s obligation to assess copyright or other use restrictions and  obtain permission from third parties when necessary before publishing or  otherwise distributing materials found in the Library\'s collections. </p>\n<p>For information about reproducing,  publishing, and citing material from this collection, as well as access to the  original items, see: <a href=""//www.loc.gov/rr/print/res/114_habs.html"">Historic American Buildings Survey/Historic American Engineering Record/Historic American Landscape Survey (HABS/HAER/HALS) Collection - Rights and Restrictions Information</a> </p>\n \n']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"['Sailing ships', 'Lighthouses', 'Seas']" ,"['photo, print, drawing']" ,https://tile.loc.gov/storage-services/service/pnp/habshaer/mi/mi0200/mi0225/sheet/00001v.jpg#h=683&w=1024
Item      ,2023-11-20    ,data/ftu_lh_metadata/item_metadata-hhh.mn0184.photos.json ,mn0184     ,"Split Rock Lighthouse, Off Highway 61, 38 miles northeast of Duluth, Two Harbors, Lake County, MN"                                                                                                                                                                                                             ,Documentation compiled after 1968 ,https://www.loc.gov/item/mn0184/     ,[{'historic american engineering record': 'https://www.loc.gov/search/?fa=contributor:historic+american+engineering+record&fo=json'}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,Photo(s): 8 | Color Transparencies: 4 | Photo Caption Page(s): 2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,"['Photo(s): 8 ', 'Color Transparencies: 4 ', 'Photo Caption Page(s): 2 ']"                                                  ,"[{'count': 45519, 'title': 'historic american buildings survey/historic american engineering record/historic american landscapes survey', 'url': 'https://www.loc.gov/collections/historic-american-buildings-landscapes-and-engineering-records/?fo=json'}, {'count': 506946, 'title': 'american memory', 'url': 'https://www.loc.gov/search/?fa=partof:american+memory&fo=json'}, {'count': 1049019, 'title': 'prints and photographs division', 'url': 'https://www.loc.gov/search/?fa=partof:prints+and+photographs+division&fo=json'}]"                                                                                                                                                                                                     ,"['<p>The Library of Congress does not&nbsp;own rights to material  in its collections. Therefore, it does not license or charge permission fees  for use of such material and cannot grant or deny permission to publish or  otherwise distribute the material. </p>\n<p>Ultimately, it is the researcher\'s obligation to assess copyright or other use restrictions and  obtain permission from third parties when necessary before publishing or  otherwise distributing materials found in the Library\'s collections. </p>\n<p>For information about reproducing,  publishing, and citing material from this collection, as well as access to the  original items, see: <a href=""//www.loc.gov/rr/print/res/114_habs.html"">Historic American Buildings Survey/Historic American Engineering Record/Historic American Landscape Survey (HABS/HAER/HALS) Collection - Rights and Restrictions Information</a> </p>\n \n']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"['Sailing ships', 'Lighthouses', 'Seas']" ,"['photo, print, drawing']" ,https://tile.loc.gov/storage-services/service/pnp/habshaer/mn/mn0100/mn0184/color/341824cv.jpg#h=746&w=1024
