item_type ,date_uploaded ,source_file                                                ,item_id    ,title                                                                                                                                                                                                                                                                                                       ,date                              ,source_url                           ,contributors                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,description                                                                                                                                                                                                                                                                                  ,medium                                                                                            ,partof                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,rights                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,subjects                                                                                                                                                                                                   ,type                        ,image_url
Item      ,2023-12-03    ,data/ftu_lib_metadata/item_metadata-cph.3b41963.json       ,91787443   ,"Carnegie Library, Cordele, Georgia"                                                                                                                                                                                                                                                                        ,[ca. 1916]                        ,https://www.loc.gov/item/91787443/   ,Not known.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"1 photographic print. | Photo shows a group of children posed on and in front of steps, roof and dome draped with stars and stripes banners. A Carnegie grant for $10,000 in 1903 funded this building, with an  additional $7,556 in 1916 for remodeling. Still used as a public library." ,['1 photographic print.']                                                                         ,"[{'count': 121312, 'title': 'miscellaneous items in high demand', 'url': 'https://www.loc.gov/search/?fa=partof:miscellaneous+items+in+high+demand&fo=json'}, {'count': 983508, 'title': 'prints & photographs online catalog (library of congress)', 'url': 'https://www.loc.gov/search/?fa=partof:prints+%26+photographs+online+catalog+%28library+of+congress%29&fo=json'}, {'count': 1049452, 'title': 'prints and photographs division', 'url': 'https://www.loc.gov/search/?fa=partof:prints+and+photographs+division&fo=json'}, {'count': 1495887, 'title': 'catalog', 'url': 'https://www.loc.gov/search/?fa=partof:catalog&fo=json'}]"                                                                                                                                                                                                                                                                                                                       ,[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,['Libraries--Georgia--Cordele--1910-1920']                                                                                                                                                                 ,"['photo, print, drawing']" ,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b41000/3b41900/3b41963v.jpg#h=823&w=1024
Item      ,2023-12-03    ,data/ftu_lib_metadata/item_metadata-cph.3b43255.json       ,89710983   ,Silence                                                                                                                                                                                                                                                                                                     ,[1939]                            ,https://www.loc.gov/item/89710983/   ,"[{'dwight, mabel': 'https://www.loc.gov/search/?fa=contributor:dwight,+mabel&fo=json'}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,1 print : lithograph. | Group of people reading in library.                                                                                                                                                                                                                                  ,['1 print : lithograph.']                                                                         ,"[{'count': 4289, 'title': 'fine prints', 'url': 'https://www.loc.gov/collections/fine-prints/?fo=json'}, {'count': 983508, 'title': 'prints & photographs online catalog (library of congress)', 'url': 'https://www.loc.gov/search/?fa=partof:prints+%26+photographs+online+catalog+%28library+of+congress%29&fo=json'}, {'count': 1049452, 'title': 'prints and photographs division', 'url': 'https://www.loc.gov/search/?fa=partof:prints+and+photographs+division&fo=json'}, {'count': 1495887, 'title': 'catalog', 'url': 'https://www.loc.gov/search/?fa=partof:catalog&fo=json'}]"                                                                                                                                                                                                                                                                                                                                                                            ,"['<p>The Library of Congress does not&nbsp;own rights to material  in its collections. Therefore, it does not license or charge permission fees  for use of such material and cannot grant or deny permission to publish or  otherwise distribute the material. </p>\n<p>Ultimately, it is the researcher\'s obligation to assess copyright or other use restrictions and  obtain permission from third parties when necessary before publishing or  otherwise distributing materials found in the Library\'s collections. </p>\n<p>For information about reproducing,  publishing, and citing material from this collection, as well as access to the  original items, see: <a href=""//www.loc.gov/rr/print/res/375_fine.html"">Fine Print Collection - Rights and Restrictions Information</a> </p>\n \n']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,"['Reading rooms--1930-1940', 'Reading--1930-1940']"                                                                                                                                                       ,"['photo, print, drawing']" ,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b43000/3b43200/3b43255r.jpg#h=422&w=640
Item      ,2023-12-03    ,data/ftu_lib_metadata/item_metadata-cph.3c18157.json       ,97511671   ,"Carnegie Library, Sheldon, Iowa"                                                                                                                                                                                                                                                                           ,[c1909]                           ,https://www.loc.gov/item/97511671/   ,Not known.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"1 photographic print. | Exterior of library, with six people on steps."                                                                                                                                                                                                                     ,['1 photographic print.']                                                                         ,"[{'count': 121312, 'title': 'miscellaneous items in high demand', 'url': 'https://www.loc.gov/search/?fa=partof:miscellaneous+items+in+high+demand&fo=json'}, {'count': 983508, 'title': 'prints & photographs online catalog (library of congress)', 'url': 'https://www.loc.gov/search/?fa=partof:prints+%26+photographs+online+catalog+%28library+of+congress%29&fo=json'}, {'count': 1049452, 'title': 'prints and photographs division', 'url': 'https://www.loc.gov/search/?fa=partof:prints+and+photographs+division&fo=json'}, {'count': 1495887, 'title': 'catalog', 'url': 'https://www.loc.gov/search/?fa=partof:catalog&fo=json'}]"                                                                                                                                                                                                                                                                                                                       ,[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,['Libraries--Iowa--Sheldon--1900-1910']                                                                                                                                                                    ,"['photo, print, drawing']" ,https://tile.loc.gov/storage-services/service/pnp/cph/3c10000/3c18000/3c18100/3c18157v.jpg#h=824&w=1024
Item      ,2023-12-03    ,data/ftu_lib_metadata/item_metadata-cph.3f05168.json       ,98508385   ,"Curb service 10,000 current books - convenient, free, time saving : Chicago Public Library, Randolph St. corridor."                                                                                                                                                                                        ,[between 1936 and 1941]           ,https://www.loc.gov/item/98508385/   ,[{'federal art project': 'https://www.loc.gov/search/?fa=contributor:federal+art+project&fo=json'}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"1 print on board (poster) : silkscreen, color. | Poster for bookmobile service of the Chicago Public Library, showing a traffic light."                                                                                                                                                     ,"['1 print on board (poster) : silkscreen, color.']"                                              ,"[{'count': 932, 'title': 'by the people, for the people: posters from the wpa, 1936-1943', 'url': 'https://www.loc.gov/search/?fa=partof:by+the+people,+for+the+people:+posters+from+the+wpa,+1936-1943&fo=json'}, {'count': 947, 'title': 'posters: wpa posters', 'url': 'https://www.loc.gov/collections/works-progress-administration-posters/?fo=json'}, {'count': 503427, 'title': 'american memory', 'url': 'https://www.loc.gov/search/?fa=partof:american+memory&fo=json'}, {'count': 983508, 'title': 'prints & photographs online catalog (library of congress)', 'url': 'https://www.loc.gov/search/?fa=partof:prints+%26+photographs+online+catalog+%28library+of+congress%29&fo=json'}, {'count': 1049452, 'title': 'prints and photographs division', 'url': 'https://www.loc.gov/search/?fa=partof:prints+and+photographs+division&fo=json'}, {'count': 1495887, 'title': 'catalog', 'url': 'https://www.loc.gov/search/?fa=partof:catalog&fo=json'}]" ,"['<p>The Library of Congress does not&nbsp;own rights to material  in its collections. Therefore, it does not license or charge permission fees  for use of such material and cannot grant or deny permission to publish or  otherwise distribute the material. </p>\n<p>Ultimately, it is the researcher\'s obligation to assess copyright or other use restrictions and  obtain permission from third parties when necessary before publishing or  otherwise distributing materials found in the Library\'s collections. </p>\n<p>For information about reproducing,  publishing, and citing material from this collection, as well as access to the  original items, see: <a href=""//www.loc.gov/rr/print/res/217_wpa.html"">Work Projects Administration Posters - Rights and Restrictions Information</a> </p>\n \n']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"['Chicago Public Library--Public relations--1930-1950', 'Bookmobiles--Illinois--Chicago--1930-1950', 'Libraries--Illinois--Chicago--1930-1950']"                                                          ,"['photo, print, drawing']" ,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05100/3f05168v.jpg#h=1024&w=708
Item      ,2023-12-03    ,data/ftu_lib_metadata/item_metadata-cph.3f05183.json       ,98508155   ,For greater knowledge on more subjects use your library more often                                                                                                                                                                                                                                          ,[between 1936 and 1941]           ,https://www.loc.gov/item/98508155/   ,[{'federal art project': 'https://www.loc.gov/search/?fa=contributor:federal+art+project&fo=json'}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"1 print on board (poster) : silkscreen, color. | Poster showing a mortarboard and a pair of glasses superimposed over a globe, promoting use of libraries."                                                                                                                                 ,"['1 print on board (poster) : silkscreen, color.']"                                              ,"[{'count': 932, 'title': 'by the people, for the people: posters from the wpa, 1936-1943', 'url': 'https://www.loc.gov/search/?fa=partof:by+the+people,+for+the+people:+posters+from+the+wpa,+1936-1943&fo=json'}, {'count': 947, 'title': 'posters: wpa posters', 'url': 'https://www.loc.gov/collections/works-progress-administration-posters/?fo=json'}, {'count': 503427, 'title': 'american memory', 'url': 'https://www.loc.gov/search/?fa=partof:american+memory&fo=json'}, {'count': 983508, 'title': 'prints & photographs online catalog (library of congress)', 'url': 'https://www.loc.gov/search/?fa=partof:prints+%26+photographs+online+catalog+%28library+of+congress%29&fo=json'}, {'count': 1049452, 'title': 'prints and photographs division', 'url': 'https://www.loc.gov/search/?fa=partof:prints+and+photographs+division&fo=json'}, {'count': 1495887, 'title': 'catalog', 'url': 'https://www.loc.gov/search/?fa=partof:catalog&fo=json'}]" ,"['<p>The Library of Congress does not&nbsp;own rights to material  in its collections. Therefore, it does not license or charge permission fees  for use of such material and cannot grant or deny permission to publish or  otherwise distribute the material. </p>\n<p>Ultimately, it is the researcher\'s obligation to assess copyright or other use restrictions and  obtain permission from third parties when necessary before publishing or  otherwise distributing materials found in the Library\'s collections. </p>\n<p>For information about reproducing,  publishing, and citing material from this collection, as well as access to the  original items, see: <a href=""//www.loc.gov/rr/print/res/217_wpa.html"">Work Projects Administration Posters - Rights and Restrictions Information</a> </p>\n \n']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"['Libraries--Illinois--Chicago--1930-1950', 'Education--Illinois--Chicago--1930-1950']"                                                                                                                   ,"['photo, print, drawing']" ,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05100/3f05183v.jpg#h=1024&w=705
Item      ,2023-12-03    ,data/ftu_lib_metadata/item_metadata-det.4a17925.json       ,2016809661 ,"[Cossitt Library, Memphis, Tenn.]"                                                                                                                                                                                                                                                                         ,[1906?]                           ,https://www.loc.gov/item/2016809661/ ,[{'detroit publishing co.': 'https://www.loc.gov/search/?fa=contributor:detroit+publishing+co.&fo=json'}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,1 negative : glass ; 8 x 10 in.                                                                                                                                                                                                                                                              ,['1 negative : glass ; 8 x 10 in.']                                                               ,"[{'count': 25171, 'title': 'detroit publishing company', 'url': 'https://www.loc.gov/collections/detroit-publishing-company/?fo=json'}, {'count': 503427, 'title': 'american memory', 'url': 'https://www.loc.gov/search/?fa=partof:american+memory&fo=json'}, {'count': 983508, 'title': 'prints & photographs online catalog (library of congress)', 'url': 'https://www.loc.gov/search/?fa=partof:prints+%26+photographs+online+catalog+%28library+of+congress%29&fo=json'}, {'count': 1049452, 'title': 'prints and photographs division', 'url': 'https://www.loc.gov/search/?fa=partof:prints+and+photographs+division&fo=json'}, {'count': 1495887, 'title': 'catalog', 'url': 'https://www.loc.gov/search/?fa=partof:catalog&fo=json'}]"                                                                                                                                                                                                                      ,"['<p>The Library of Congress believes that many of the papers in the Detroit Publishing Company collection are in the public domain or have no known copyright restrictions and are free to use and reuse. For example, all photos published in the U.S. more than 95 years ago are in the public domain. The Library has also obtained permission for the use of many other materials, and presents additional materials pursuant to fair use under United States copyright law. Researchers should watch for documents that may be copyrighted (for example, published in the United States less than 95 years ago, or unpublished and the author died less than 70 years ago).</p>\r\n<p> You are responsible for deciding whether your use of the items in this collection is legal. You will need written permission from the rightsholders to copy, distribute, or otherwise use copyrighted materials except as allowed by fair use or other statutory exemptions. Some materials may be protected under international law. You may also need permission from holders of other rights, such as publicity and/or privacy rights.</p>\r\n<p>Credit Line: Library of Congress, Prints &amp; Photographs Division, Detroit Publishing Company Collection.<br>\r\nFor information about reproducing, publishing, and citing material from this collection, as well as access to the original items, see: <a href=""https://www.loc.gov/rr/print/res/102_det.html"">Detroit Publishing Company - Rights and Restrictions Information</a></p>\r\n<p>More about <a href=""/legal/"">Copyright and other Restrictions</a> </p>\r\n<p>For guidance about compiling full citations consult <a href=""https://www.loc.gov/teachers/usingprimarysources/citing.html"">Citing Primary Sources</a>.</p>']" ,"['Libraries', 'United States--Tennessee--Memphis']"                                                                                                                                                       ,"['photo, print, drawing']" ,https://tile.loc.gov/storage-services/service/pnp/det/4a10000/4a17000/4a17900/4a17925v.jpg#h=814&w=1024
Item      ,2023-12-03    ,data/ftu_lib_metadata/item_metadata-det.4a23603.json       ,2016815290 ,"Little Rock Public Library, Little Rock, Ark."                                                                                                                                                                                                                                                             ,c[between 1905 and 1915]          ,https://www.loc.gov/item/2016815290/ ,[{'detroit publishing co.': 'https://www.loc.gov/search/?fa=contributor:detroit+publishing+co.&fo=json'}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,1 negative : glass ; 8 x 10 in.                                                                                                                                                                                                                                                              ,['1 negative : glass ; 8 x 10 in.']                                                               ,"[{'count': 25171, 'title': 'detroit publishing company', 'url': 'https://www.loc.gov/collections/detroit-publishing-company/?fo=json'}, {'count': 503427, 'title': 'american memory', 'url': 'https://www.loc.gov/search/?fa=partof:american+memory&fo=json'}, {'count': 983508, 'title': 'prints & photographs online catalog (library of congress)', 'url': 'https://www.loc.gov/search/?fa=partof:prints+%26+photographs+online+catalog+%28library+of+congress%29&fo=json'}, {'count': 1049452, 'title': 'prints and photographs division', 'url': 'https://www.loc.gov/search/?fa=partof:prints+and+photographs+division&fo=json'}, {'count': 1495887, 'title': 'catalog', 'url': 'https://www.loc.gov/search/?fa=partof:catalog&fo=json'}]"                                                                                                                                                                                                                      ,"['<p>The Library of Congress believes that many of the papers in the Detroit Publishing Company collection are in the public domain or have no known copyright restrictions and are free to use and reuse. For example, all photos published in the U.S. more than 95 years ago are in the public domain. The Library has also obtained permission for the use of many other materials, and presents additional materials pursuant to fair use under United States copyright law. Researchers should watch for documents that may be copyrighted (for example, published in the United States less than 95 years ago, or unpublished and the author died less than 70 years ago).</p>\r\n<p> You are responsible for deciding whether your use of the items in this collection is legal. You will need written permission from the rightsholders to copy, distribute, or otherwise use copyrighted materials except as allowed by fair use or other statutory exemptions. Some materials may be protected under international law. You may also need permission from holders of other rights, such as publicity and/or privacy rights.</p>\r\n<p>Credit Line: Library of Congress, Prints &amp; Photographs Division, Detroit Publishing Company Collection.<br>\r\nFor information about reproducing, publishing, and citing material from this collection, as well as access to the original items, see: <a href=""https://www.loc.gov/rr/print/res/102_det.html"">Detroit Publishing Company - Rights and Restrictions Information</a></p>\r\n<p>More about <a href=""/legal/"">Copyright and other Restrictions</a> </p>\r\n<p>For guidance about compiling full citations consult <a href=""https://www.loc.gov/teachers/usingprimarysources/citing.html"">Citing Primary Sources</a>.</p>']" ,"['Libraries', 'United States--Arkansas--Little Rock']"                                                                                                                                                    ,"['photo, print, drawing']" ,https://tile.loc.gov/storage-services/service/pnp/det/4a20000/4a23000/4a23600/4a23603v.jpg#h=820&w=1024
